t,p1,p2,h
5758.00118,0.00172,-0.00077,0.32997
5758.01118,-0.01412,-0.00051,0.33002
5758.02118,0.00158,-0.00024,0.3301
5758.03117,-0.01441,-0.00028,0.33004
5758.04117,0.00153,-0.00047,0.33001
5758.05117,-0.01409,-0.00037,0.32992
5758.06117,0.00207,-0.00021,0.32992
5758.07116,-0.0135,3e-05,0.32985
5758.08116,0.00226,0.00026,0.32991
5758.09116,-0.01369,0.00037,0.32994
5758.10116,0.00214,0.00037,0.33003
5758.11115,-0.01382,0.0002,0.33001
5758.12115,0.002,-0,0.32999
5758.13115,-0.01362,-0.00011,0.32991
5758.14115,0.00217,-3e-05,0.32993
5758.15114,-0.0138,0.00015,0.32991
5758.16114,0.00194,0.00027,0.32992
5758.17114,-0.01398,0.00033,0.32985
5758.18114,0.002,0.0002,0.32986
5758.19113,-0.0137,9e-05,0.32984
5758.20113,0.00235,5e-05,0.32989
5758.21113,-0.01354,0.00015,0.32988
5758.22113,0.00223,3e-05,0.32995
5758.23112,-0.01368,-0.00018,0.33001
5758.24112,0.00208,-0.0002,0.33011
5758.25112,-0.01391,-0.00017,0.33005
5758.26111,0.00191,-0.00028,0.33006
5758.27111,-0.01379,-0.00021,0.32998
5758.28111,0.00195,-1e-05,0.32996
5758.29111,-0.01419,0.00017,0.32992
5758.3011,0.00183,0.00044,0.32992
5758.3111,-0.01382,0.00052,0.32989
5758.3211,0.00214,0.00032,0.32994
5758.3311,-0.01358,1e-05,0.32991
5758.34109,0.0024,-5e-05,0.32998
5758.35109,-0.01354,0.00017,0.32998
5758.36109,0.00244,0.00037,0.33005
5758.37109,-0.01319,0.00025,0.33004
5758.38108,0.00268,-0.00014,0.33001
5758.39108,-0.01342,-0.00038,0.32989
5758.40108,0.00233,-0.00049,0.32991
5758.41108,-0.01359,-0.00049,0.3299
5758.42107,0.00258,-0.00033,0.32995
5758.43107,-0.01289,-0.0003,0.32993
5758.44107,0.0031,-0.00044,0.32993
5758.45107,-0.01313,-0.00043,0.32987
5758.46106,0.00247,-0.00026,0.32993
5758.47106,-0.01366,-0.00029,0.32989
5758.48106,0.00207,-0.00049,0.32991
5758.49106,-0.01383,-0.00058,0.3299
5758.50105,0.002,-0.00049,0.33
5758.51105,-0.01376,-0.00034,0.33
5758.52105,0.00233,-0.00016,0.33004
5758.53104,-0.01356,-7e-05,0.33
5758.54104,0.00231,-0.00024,0.32999
5758.55104,-0.01346,-0.00049,0.32994
5758.56104,0.00258,-0.00066,0.32991
5758.57103,-0.01298,-0.00071,0.3298
5758.58103,0.0031,-0.0007,0.32978
5758.59103,-0.01293,-0.00052,0.32972
5758.60103,0.00295,-0.00025,0.32981
5758.61102,-0.01298,-0.00031,0.32984
5758.62102,0.00263,-0.00051,0.32988
5758.63102,-0.01351,-0.00061,0.32986
5758.64102,0.00236,-0.00062,0.32987
5758.65101,-0.01362,-0.00069,0.32977
5758.66101,0.00218,-0.00068,0.32983
5758.67101,-0.01369,-0.00056,0.3299
5758.68101,0.00239,-0.0005,0.33
5758.691,-0.01336,-0.00046,0.32999
5758.701,0.00268,-0.00047,0.33005
5758.711,-0.01327,-0.0005,0.33008
5758.721,0.00259,-0.00048,0.33013
5758.73099,-0.01311,-0.00031,0.33009
5758.74099,0.00293,-0.00018,0.33009
5758.75099,-0.01304,-0.00034,0.32997
5758.76098,0.00281,-0.00048,0.33
5758.77098,-0.01318,-0.00052,0.33
5758.78098,0.00277,-0.0005,0.33
5758.79098,-0.01315,-0.00044,0.32987
5758.80097,0.00272,-0.00042,0.32988
5758.81097,-0.01315,-0.00027,0.32987
5758.82097,0.00312,-0.00016,0.32989
5758.83097,-0.01267,-0.00018,0.32991
5758.84096,0.00309,-0.00036,0.32995
5758.85096,-0.01283,-0.00049,0.32986
5758.86096,0.00319,-0.00045,0.32986
5758.87096,-0.01265,-0.00036,0.32982
5758.88095,0.00327,-0.00037,0.32993
5758.89095,-0.0126,-0.00033,0.32994
5758.90095,0.00335,-0.00034,0.32995
5758.91095,-0.01262,-0.0003,0.32986
5758.92094,0.00334,-0.00028,0.32991
5758.93094,-0.01285,-0.00041,0.32982
5758.94094,0.00284,-0.00066,0.32984
5758.95094,-0.0132,-0.00051,0.32987
5758.96093,0.00288,-0.00025,0.32993
5758.97093,-0.01286,-0.00012,0.32994
5758.98093,0.00315,-0.00018,0.32994
5758.99092,-0.01289,-0.00025,0.3298
5759.00092,0.00305,-0.00032,0.32973
5759.01092,-0.01288,-0.00025,0.32973
5759.02092,0.00326,-0.00013,0.3298
5759.03091,-0.01253,0.00011,0.3298
5759.04091,0.0034,0.00014,0.32985
5759.05091,-0.0127,-6e-05,0.32991
5759.06091,0.00321,-0.00012,0.32998
5759.0709,-0.01263,-0.00013,0.32983
5759.0809,0.00359,-0.00025,0.32979
5759.0909,-0.01222,-0.00022,0.32979
5759.1009,0.00399,-0.00018,0.32981
5759.11089,-0.01184,-0.0003,0.32976
5759.12089,0.0041,-0.00042,0.32983
5759.13089,-0.01197,-0.00058,0.32979
5759.14089,0.00407,-0.00051,0.32982
5759.15088,-0.01181,-0.00025,0.32977
5759.16088,0.00413,-0.00014,0.32979
5759.17088,-0.01198,-0.00025,0.32969
5759.18088,0.00399,-0.00035,0.32974
5759.19087,-0.01185,-0.00033,0.32981
5759.20087,0.00418,-0.00012,0.3298
5759.21087,-0.01208,5e-05,0.32975
5759.22087,0.00361,6e-05,0.3298
5759.23086,-0.01239,-3e-05,0.32981
5759.24086,0.00355,-0.00016,0.32977
