Time,Velocity,Pressure,Gamma,Tau
6795.63109,2.22806497981986,640929.280065819,3546.07555068275,8545.72373421092
6795.64108,2.23165716688785,641315.673165679,3551.79269396656,8550.87564220905
6795.65108,2.235339675963,641703.585002761,3557.65358918947,8556.04780003681
6795.66108,2.23911250704532,642093.015577063,3563.65823635149,8561.24020769418
6795.67108,2.2429756601348,642483.964888588,3569.80663545261,8566.45286518117
6795.68107,2.24692913523146,642876.432937333,3576.09878649284,8571.68577249778
6795.69107,2.25097293233527,643270.4197233,3582.53468947217,8576.938929644
6795.70107,2.25510705144626,643665.925246488,3589.11434439061,8582.21233661984
6795.71107,2.25933149256441,644062.949506897,3595.83775124816,8587.50599342529
6795.72106,2.26364625568973,644461.492504527,3602.70491004481,8592.81990006036
6795.73106,2.26805134082221,644861.554239379,3609.71582078056,8598.15405652505
6795.74106,2.27254674796186,645263.134711452,3616.87048345542,8603.50846281936
6795.75105,2.27713247710868,645666.233920746,3624.16889806939,8608.88311894328
6795.76105,2.28180852826267,646070.851867261,3631.61106462246,8614.27802489682
6795.77105,2.28657490142382,646476.988550998,3639.19698311464,8619.69318067997
6795.78105,2.29143159659213,646884.643971956,3646.92665354592,8625.12858629275
6795.79104,2.29637861376762,647293.818130135,3654.80007591631,8630.58424173514
6795.80104,2.30141595295027,647704.511025536,3662.8172502258,8636.06014700714
6795.81104,2.30654361414008,648116.722658157,3670.9781764744,8641.55630210877
6795.82104,2.31176159733707,648530.453028,3679.2828546621,8647.07270704
6795.83103,2.31706990254122,648945.702135065,3687.73128478891,8652.60936180086
6795.84103,2.32246852975253,649362.46997935,3696.32346685482,8658.16626639133
6795.85103,2.32795747897102,649780.756560857,3705.05940085985,8663.74342081142
6795.86103,2.33353675019667,650200.561879585,3713.93908680397,8669.34082506113
6795.87102,2.33920634342949,650621.885935534,3722.9625246872,8674.95847914046
6795.88102,2.34496625866947,651044.728728705,3732.12971450954,8680.5963830494
6795.89102,2.35081649591662,651469.090259096,3741.44065627098,8686.25453678795
6795.90102,2.35675705517093,651894.970526709,3750.89534997153,8691.93294035613
6795.91101,2.36278793643242,652322.369531544,3760.49379561118,8697.63159375392
6795.92101,2.36890913970107,652751.287273599,3770.23599318994,8703.35049698133
6795.93101,2.37512066497688,653181.723752876,3780.1219427078,8709.08965003835
6795.94101,2.38142251225986,653613.678969375,3790.15164416477,8714.849052925
6795.951,2.38781468155001,654047.152923094,3800.32509756085,8720.62870564125
6795.961,2.39429717284733,654482.145614034,3810.64230289603,8726.42860818713
6795.971,2.40086998615181,654918.657042196,3821.10326017031,8732.24876056262
6795.98099,2.40753312146346,655356.687207579,3831.7079693837,8738.08916276773
6795.99099,2.41428657878228,655796.236110184,3842.4564305362,8743.94981480245
6796.00099,2.42113035810826,656237.30375001,3853.3486436278,8749.83071666679
6796.01099,2.42806445944141,656679.890127056,3864.38460865851,8755.73186836075
6796.02098,2.43508888278172,657123.995241324,3875.56432562832,8761.65326988433
6796.03098,2.4422036281292,657569.619092814,3886.88779453724,8767.59492123752
6796.04098,2.44940869548385,658016.761681525,3898.35501538526,8773.55682242033
6796.05098,2.45670408484567,658465.423007457,3909.96598817239,8779.53897343275
6796.06097,2.46408979621465,658915.60307061,3921.72071289863,8785.5413742748
