Time,Velocity,Pressure,Gamma,Tau
4117.33825,0.00183517340631575,307159.643718822,43.2402546850868,8190.92383250192
4117.34825,0.00184206944295748,307626.531250571,43.4027387204809,8203.3741666819
4117.35824,0.00184901884760768,308092.789718618,43.5664802099502,8215.8077258298
4117.36824,0.00185602162026636,308558.419122961,43.7314791534946,8228.22450994562
4117.37824,0.00186307776093351,309023.4194636,43.8977355511142,8240.62451902934
4117.38824,0.00187018726960913,309487.790740537,44.0652494028089,8253.00775308099
4117.39823,0.00187735014629322,309951.532953771,44.2340207085787,8265.37421210056
4117.40823,0.00188456639098578,310414.646103302,44.4040494684236,8277.72389608804
4117.41823,0.00189183600368681,310877.130189129,44.5753356823437,8290.05680504343
4117.42823,0.00189915898439632,311338.985211253,44.7478793503389,8302.37293896674
4117.43822,0.00190653533311429,311800.211169674,44.9216804724093,8314.67229785797
4117.44822,0.00191396504984074,312260.808064392,45.0967390485548,8326.95488171712
4117.45822,0.00192144813457567,312720.775895406,45.2730550787755,8339.22069054417
4117.46822,0.00192898458731906,313180.114662718,45.4506285630712,8351.46972433915
4117.47821,0.00193657440807092,313638.824366326,45.6294595014421,8363.70198310203
4117.48821,0.00194421759683126,314096.905006232,45.8095478938881,8375.91746683285
4117.49821,0.00195191415360007,314554.356582434,45.9908937404093,8388.11617553157
4117.50821,0.00195966407837735,315011.179094933,46.1734970410056,8400.29810919822
4117.5182,0.0019674673711631,315467.372543729,46.357357795677,8412.46326783277
4117.5282,0.00197532403195732,315922.936928822,46.5424760044236,8424.61165143525
4117.5382,0.00198323406076001,316377.872250211,46.7288516672454,8436.74326000563
4117.5482,0.00199119745757118,316832.178507898,46.9164847841422,8448.85809354393
4117.55819,0.00199921422239082,317285.855701881,47.1053753551142,8460.95615205016
4117.56819,0.00200728435521893,317738.903832161,47.2955233801613,8473.0374355243
4117.57819,0.00201540785605551,318191.322898738,47.4869288592836,8485.10194396635
4117.58818,0.00202358472490056,318643.112901612,47.679591792481,8497.14967737632
4117.59818,0.00203181496175409,319094.273840783,47.8735121797535,8509.1806357542
4117.60818,0.00204009856661608,319544.80571625,48.0686900211012,8521.19481910001
4117.61818,0.00204843553948655,319994.708528015,48.265125316524,8533.19222741373
4117.62817,0.00205682588036549,320443.982276076,48.462818066022,8545.17286069536
4117.63817,0.00206526958925291,320892.626960434,48.661768269595,8557.13671894491
4117.64817,0.00207376666614879,321340.642581089,48.8619759272432,8569.08380216238
4117.65817,0.00208231711105314,321788.029138041,49.0634410389666,8581.01411034775
4117.66816,0.00209092092396597,322234.786631289,49.2661636047651,8592.92764350105
4117.67816,0.00209957810488727,322680.915060835,49.4701436246387,8604.82440162227
4117.68816,0.00210828865381704,323126.414426678,49.6753810985875,8616.70438471141
4117.69816,0.00211705257075528,323571.284728817,49.8818760266114,8628.56759276846
4117.70815,0.002125869855702,324015.525967253,50.0896284087104,8640.41402579341
4117.71815,0.00213474050865718,324459.138141986,50.2986382448846,8652.2436837863
4117.72815,0.00214366452962084,324902.121253016,50.5089055351339,8664.05656674709
4117.73815,0.00215264191859297,325344.475300343,50.7204302794583,8675.85267467581
4117.74814,0.00216167267557357,325786.200283966,50.9332124778579,8687.63200757244
4117.75814,0.00217075680056264,326227.296203887,51.1472521303326,8699.39456543698
4117.76814,0.00217989429356019,326667.763060104,51.3625492368825,8711.14034826944
